available,camera_source,track_id,location_x
1,2,2658,34.225235
1,2,2658,33.616291
1,2,2658,34.1861
1,2,2658,34.503922
1,2,2658,33.867737
1,2,2658,34.261745
1,2,2658,34.083611
1,2,2658,34.597355
1,2,2658,33.831406
1,2,2658,34.160374
1,2,2658,33.56583
1,2,2658,34.142319
1,2,2658,33.292515
1,2,2658,33.380341
1,2,2658,33.589729
1,2,2658,33.966114
1,2,2658,33.348137
1,2,2658,32.74184
1,2,2658,33.646996
1,2,2658,33.227146
1,2,2658,32.755711
1,2,2658,32.744907
1,2,2658,33.404041
1,2,2658,32.858864
1,2,2658,32.380184
1,2,2658,32.817566
1,2,2658,32.363598
1,2,2658,32.087326
1,2,2658,32.821087
1,2,2658,33.071606
1,2,2658,32.77298
1,2,2658,32.494072
1,2,2658,31.621483
1,2,2658,31.97839
1,2,2658,32.334522
1,2,2658,31.846867
1,2,2658,31.863071
1,2,2658,31.747429
1,2,2658,32.030495
1,2,2658,31.952766
1,2,2658,31.97221
1,2,2658,31.989052
1,2,2658,31.032803
1,2,2658,31.252937
1,2,2658,31.63398
1,2,2658,31.370319
1,2,2658,30.721096
1,2,2658,31.068424
1,2,2658,30.88052
1,2,2787,25.771137
1,2,2658,29.790791
1,2,2658,30.227505
1,2,2658,30.639862
1,2,2658,29.886147
1,2,2658,29.800358
1,2,2658,30.086052
1,2,2658,29.336388
1,2,2658,29.493206
1,2,2658,29.40852
1,2,2658,28.986069
1,2,2658,29.026115
1,2,2658,28.994953
1,2,2658,28.723969
1,2,2658,28.471992
1,2,2658,28.140594
1,2,2658,27.676147
1,2,2658,27.806988
1,2,2658,27.69009
1,2,2863,24.144283
1,2,2658,27.124249
1,2,2658,27.33773
1,2,2658,26.974144
1,2,2658,27.27372
1,2,2658,26.897213
1,2,2658,26.870075
1,2,2658,26.43718
1,2,2882,16.730015
1,2,2658,25.564548
1,2,2658,25.478313
1,2,2658,25.608402
1,2,2658,24.864155
1,2,2658,24.649582
1,2,2913,20.798756
1,2,2658,24.49577
1,2,2658,24.230553
1,2,2658,23.927216
1,2,2658,23.534893
1,2,2658,24.037006
1,2,2658,23.598038
1,2,2658,23.582993
1,2,2658,22.962437
1,2,2658,23.016838
1,2,2658,22.632046
1,2,2658,22.509769
1,2,2658,22.609024
1,2,2658,22.484718
1,2,2658,21.611877
1,2,2658,21.685478
1,2,2658,21.285633
1,2,2658,21.266171
1,2,2658,21.107819
1,2,2658,20.818512
1,2,2658,20.619267
1,2,2658,20.490086
1,2,2658,20.383911
1,2,2658,20.197334
1,2,2658,20.036037
1,2,2658,20.171322
1,2,2658,19.918602
1,2,2658,20.085712
1,2,2658,19.99086
1,2,2658,19.340633
1,2,3052,16.414379
1,2,3052,16.364933
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,2,3065,11.947729
1,2,3065,11.759757
1,2,3065,11.892936
1,2,3065,11.75841
1,2,3065,11.866136
1,2,3065,11.710582
1,2,3065,11.781548
1,2,3065,11.705034
1,2,3065,11.804411
1,2,3065,11.838018
1,2,3065,11.715039
1,2,3065,11.824447
1,2,3065,11.816271
1,2,3065,11.866811
1,2,3065,11.775159
1,2,3065,11.891987
1,2,3065,11.838639
1,2,3065,11.824025
1,2,3065,11.773353
1,2,3065,11.896468
1,2,3065,11.782014
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,2,3093,11.826959
1,2,3093,11.815528
1,2,3093,11.815255
1,2,3093,11.750544
1,2,3093,11.737228
1,2,3093,11.916599
1,2,3093,11.952344
1,2,3093,11.805142
1,2,3093,11.763807
1,2,3093,11.867655
1,2,3093,11.817436
1,2,3093,11.757832
1,2,3093,11.821464
1,2,3093,11.814265
1,2,3093,11.864569
1,2,3093,11.819792
1,2,3093,11.73705
1,2,3093,11.875093
1,2,3093,11.892042
1,2,3093,11.931213
1,2,3093,11.745347
1,2,3093,11.772221
1,2,3093,11.871943
1,2,3093,11.85935
1,2,3093,11.859189
1,2,3093,11.673101
1,2,3093,11.844351
1,2,3093,11.860918
1,2,3093,11.828834
1,2,3093,11.894551
1,2,3093,11.905165
1,2,3093,11.821364
1,2,3093,11.741597
1,2,3093,11.894302
1,2,3093,11.819392
1,2,3093,11.834864
1,2,3093,11.843884
1,2,3093,11.778019
1,2,3093,11.748153
1,2,3093,11.74428
1,2,3093,11.850517
1,2,3093,11.848252
1,2,3093,11.79883
1,2,3093,11.867829
1,2,3093,11.907146
1,2,3093,11.84032
1,2,3093,11.864075
1,2,3093,11.749438
1,2,3093,11.827073
1,2,3093,11.823272
1,2,3093,11.831891
1,2,3093,11.759659
1,2,3093,11.867002
1,2,3093,11.85907
1,2,3093,11.940733
1,2,3093,11.82549
1,2,3093,11.815687
1,2,3093,11.786906
1,2,3093,11.806423
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
